frame,vehicle_type,id,bbox
0,2,1,"[[490.504638671875, 211.77920532226562, 538.4144287109375, 248.88449096679688]]"
0,2,2,"[[238.1953125, 180.06512451171875, 270.7315979003906, 204.2127685546875]]"
1,2,1,"[[485.8612365722656, 210.2190399169922, 534.5156860351562, 247.88812255859375]]"
1,2,2,"[[238.274169921875, 181.034423828125, 271.2180480957031, 205.50894165039062]]"
2,2,1,"[[484.8282775878906, 209.15606689453125, 531.3995971679688, 245.17803955078125]]"
2,2,2,"[[237.9317169189453, 182.10269165039062, 271.2989807128906, 206.9280242919922]]"
3,2,1,"[[482.1004333496094, 207.76715087890625, 526.5719604492188, 242.1351776123047]]"
3,2,2,"[[236.93833923339844, 183.37489318847656, 270.5843811035156, 208.43405151367188]]"
4,2,1,"[[477.77545166015625, 204.67987060546875, 524.1389770507812, 240.4765625]]"
4,2,2,"[[237.40298461914062, 184.49949645996094, 270.6275329589844, 209.25985717773438]]"
5,2,1,"[[476.02520751953125, 203.567138671875, 520.5346069335938, 237.88534545898438]]"
5,2,2,"[[237.4147186279297, 186.1403045654297, 270.9310302734375, 211.15899658203125]]"
6,2,1,"[[472.1625671386719, 201.2342529296875, 517.08740234375, 235.90762329101562]]"
6,2,2,"[[236.8904266357422, 187.54534912109375, 271.0315246582031, 213.05636596679688]]"
7,2,1,"[[470.3737487792969, 199.9697265625, 513.270263671875, 232.93307495117188]]"
7,2,2,"[[235.60374450683594, 188.223388671875, 271.96136474609375, 215.4596405029297]]"
8,2,1,"[[468.24041748046875, 198.95352172851562, 509.9678649902344, 231.03952026367188]]"
8,2,2,"[[233.84982299804688, 188.24554443359375, 272.1329345703125, 217.090087890625]]"
9,2,1,"[[464.6722717285156, 196.39144897460938, 507.0262145996094, 228.9270782470703]]"
9,2,2,"[[234.69287109375, 191.21783447265625, 271.13653564453125, 218.70358276367188]]"
10,2,1,"[[461.2328186035156, 194.9033966064453, 504.03814697265625, 227.7347412109375]]"
10,2,2,"[[233.2178955078125, 192.1453094482422, 271.3045959472656, 220.95449829101562]]"
11,2,1,"[[459.0823669433594, 192.85743713378906, 501.0169982910156, 225.0189971923828]]"
11,2,2,"[[233.1686553955078, 193.4669189453125, 271.7665710449219, 222.7747802734375]]"
12,2,1,"[[457.50421142578125, 192.54849243164062, 497.9193420410156, 223.44439697265625]]"
12,2,2,"[[233.01560974121094, 194.8406524658203, 272.03472900390625, 224.48106384277344]]"
13,2,1,"[[454.95989990234375, 191.29470825195312, 494.68988037109375, 221.65940856933594]]"
13,2,2,"[[232.4556121826172, 196.03244018554688, 271.96270751953125, 226.11668395996094]]"
14,2,1,"[[451.97003173828125, 188.7069091796875, 492.74139404296875, 220.02886962890625]]"
14,2,2,"[[232.36898803710938, 198.2811279296875, 271.7736511230469, 228.2388458251953]]"
15,2,1,"[[449.83245849609375, 187.15609741210938, 490.0599365234375, 218.02587890625]]"
15,2,2,"[[232.38619995117188, 199.74549865722656, 272.4641418457031, 230.34552001953125]]"
16,2,1,"[[447.5913391113281, 186.16184997558594, 487.21563720703125, 216.5093231201172]]"
16,2,2,"[[231.18984985351562, 200.914794921875, 272.6586608886719, 232.69729614257812]]"
17,2,1,"[[445.20904541015625, 184.77392578125, 484.97174072265625, 215.28057861328125]]"
17,2,2,"[[230.9598846435547, 203.1454620361328, 272.4971618652344, 235.11643981933594]]"
18,2,1,"[[444.1912536621094, 184.36683654785156, 481.9859619140625, 213.29904174804688]]"
18,2,2,"[[229.07691955566406, 203.8067169189453, 272.66778564453125, 237.47999572753906]]"
19,2,1,"[[441.83270263671875, 182.96327209472656, 478.9467468261719, 211.48793029785156]]"
19,2,2,"[[226.11004638671875, 201.1139373779297, 275.18927001953125, 239.7360076904297]]"
20,2,1,"[[440.03424072265625, 181.06552124023438, 477.0184020996094, 209.5001678466797]]"
20,2,2,"[[227.68753051757812, 205.61947631835938, 273.628173828125, 241.81919860839844]]"
21,2,1,"[[437.4281005859375, 179.5303497314453, 474.8633117675781, 208.3513946533203]]"
21,2,2,"[[228.81076049804688, 210.0994415283203, 271.60552978515625, 243.74363708496094]]"
22,2,1,"[[436.3194885253906, 179.29966735839844, 472.48345947265625, 207.24595642089844]]"
22,2,2,"[[228.3127899169922, 211.7041473388672, 272.033447265625, 246.24098205566406]]"
23,2,1,"[[433.5610656738281, 177.45274353027344, 470.4576110839844, 206.07708740234375]]"
24,2,1,"[[431.302978515625, 175.36041259765625, 468.9120178222656, 204.72805786132812]]"
25,2,1,"[[430.1758117675781, 175.37294006347656, 466.0836486816406, 203.3957977294922]]"
25,2,2,"[[227.2123260498047, 218.82284545898438, 270.5380554199219, 253.0182342529297]]"
26,2,1,"[[429.0468444824219, 175.2866973876953, 462.7291259765625, 201.3343963623047]]"
26,2,2,"[[222.25990295410156, 214.7406463623047, 275.1125793457031, 257.2453308105469]]"
27,2,1,"[[427.30999755859375, 174.2030792236328, 461.0827941894531, 200.28036499023438]]"
27,7,2,"[[220.0882568359375, 215.1873779296875, 275.82208251953125, 260.9208068847656]]"
28,2,1,"[[425.4266357421875, 172.94078063964844, 459.83575439453125, 199.5401153564453]]"
28,7,2,"[[218.936767578125, 219.39324951171875, 273.6785583496094, 264.5311584472656]]"
29,2,1,"[[424.49395751953125, 172.03109741210938, 458.0000915527344, 198.04434204101562]]"
29,2,2,"[[216.71148681640625, 219.01278686523438, 275.5176086425781, 267.937744140625]]"
30,2,1,"[[422.0635681152344, 170.07717895507812, 456.4298095703125, 196.90391540527344]]"
30,7,2,"[[216.0413055419922, 220.19650268554688, 277.04779052734375, 271.57684326171875]]"
31,2,1,"[[420.9512634277344, 169.57594299316406, 454.4015808105469, 195.85159301757812]]"
31,7,2,"[[218.5717010498047, 228.05343627929688, 273.4403076171875, 274.54852294921875]]"
32,2,1,"[[419.4836120605469, 168.54249572753906, 452.5868225097656, 194.60202026367188]]"
32,2,2,"[[220.32931518554688, 235.16354370117188, 269.9648132324219, 277.133056640625]]"
33,2,1,"[[418.36492919921875, 168.3757781982422, 449.6196594238281, 192.8349151611328]]"
33,2,2,"[[219.3292999267578, 239.51942443847656, 268.8066101074219, 281.1481628417969]]"
34,2,1,"[[417.69158935546875, 168.28753662109375, 448.0979309082031, 191.90869140625]]"
34,2,2,"[[218.95187377929688, 244.39361572265625, 267.6761169433594, 284.86767578125]]"
35,2,1,"[[416.134033203125, 167.5096893310547, 446.535888671875, 191.00340270996094]]"
35,2,2,"[[216.9822235107422, 247.8209991455078, 267.7187194824219, 289.6360168457031]]"
36,2,1,"[[413.778076171875, 165.78726196289062, 445.35516357421875, 190.21780395507812]]"
36,2,2,"[[215.73641967773438, 251.20989990234375, 267.4396667480469, 293.6556091308594]]"
37,2,1,"[[412.48846435546875, 165.06150817871094, 443.4306640625, 188.95509338378906]]"
37,2,2,"[[212.6659393310547, 251.78550720214844, 269.2294006347656, 298.5200500488281]]"
38,2,1,"[[410.8257141113281, 163.85067749023438, 442.0265808105469, 188.03814697265625]]"
38,2,2,"[[211.27005004882812, 255.62437438964844, 268.6439208984375, 303.0940856933594]]"
38,2,3,"[[601.2305908203125, 284.4737243652344, 636.319091796875, 341.1578063964844]]"
39,2,1,"[[409.9932861328125, 163.52285766601562, 440.0256652832031, 186.8223419189453]]"
39,2,2,"[[209.7636260986328, 259.3540344238281, 268.0890197753906, 307.7012939453125]]"
39,2,3,"[[598.4544677734375, 280.24053955078125, 632.4374389648438, 334.5881652832031]]"
40,2,1,"[[408.85357666015625, 162.85769653320312, 438.0738220214844, 185.48512268066406]]"
40,2,2,"[[208.34149169921875, 263.27740478515625, 267.097900390625, 312.1368713378906]]"
40,2,3,"[[594.7969970703125, 275.9020080566406, 628.7819213867188, 329.1767272949219]]"
41,2,1,"[[406.87091064453125, 161.0906982421875, 437.0145263671875, 184.56251525878906]]"
41,2,2,"[[206.00408935546875, 267.5326843261719, 265.6358947753906, 317.1441650390625]]"
41,2,3,"[[590.7286376953125, 271.4143371582031, 625.52490234375, 324.20733642578125]]"
42,2,1,"[[405.4141540527344, 160.2972412109375, 435.5615539550781, 183.8873748779297]]"
42,2,2,"[[203.6094512939453, 273.0908203125, 262.6490173339844, 322.0342102050781]]"
42,2,3,"[[586.8020629882812, 267.0395202636719, 622.8450927734375, 319.3226013183594]]"
43,2,1,"[[404.758544921875, 160.16476440429688, 434.1482849121094, 183.2038116455078]]"
43,2,2,"[[199.482666015625, 276.1831359863281, 264.5411071777344, 330.2176208496094]]"
43,2,3,"[[579.3037109375, 263.1864929199219, 616.6256103515625, 314.6361389160156]]"
44,5,1,"[[402.51617431640625, 158.943359375, 433.21600341796875, 183.1571502685547]]"
44,2,2,"[[198.95559692382812, 283.1750793457031, 261.71221923828125, 334.9952087402344]]"
44,2,3,"[[573.0908203125, 259.8389892578125, 611.2594604492188, 310.1251525878906]]"
45,5,1,"[[400.8082580566406, 157.6422882080078, 431.49560546875, 182.043701171875]]"
45,2,2,"[[195.2729949951172, 288.4503479003906, 260.8826599121094, 342.35382080078125]]"
45,2,3,"[[566.7117919921875, 256.8688049316406, 605.5958251953125, 305.8121643066406]]"
45,7,5,"[[86.43762969970703, 182.9255828857422, 172.97457885742188, 299.33526611328125]]"
46,2,1,"[[401.0832214355469, 158.26531982421875, 429.4873962402344, 180.81948852539062]]"
46,2,2,"[[189.529296875, 291.3335266113281, 260.6376647949219, 349.63226318359375]]"
46,2,3,"[[560.5558471679688, 253.709716796875, 599.9600219726562, 301.0351867675781]]"
46,7,5,"[[85.33765411376953, 183.8468475341797, 172.666015625, 301.3304748535156]]"
47,2,1,"[[400.3394470214844, 158.32763671875, 427.3844909667969, 179.79263305664062]]"
47,2,2,"[[186.23805236816406, 296.61639404296875, 258.907958984375, 356.0120849609375]]"
47,2,3,"[[553.2516479492188, 251.1808319091797, 593.5881958007812, 297.40203857421875]]"
47,7,5,"[[83.210693359375, 185.97801208496094, 171.459228515625, 304.6982727050781]]"
48,2,1,"[[398.393310546875, 157.15455627441406, 425.6237487792969, 178.7449188232422]]"
48,2,2,"[[186.9273681640625, 303.5917053222656, 255.70785522460938, 359.09417724609375]]"
48,2,3,"[[547.9241333007812, 249.06419372558594, 588.11669921875, 293.03411865234375]]"
48,7,5,"[[79.88513946533203, 187.8057861328125, 169.61431884765625, 308.23162841796875]]"
49,2,1,"[[397.4513244628906, 156.29750061035156, 424.6379089355469, 177.90672302246094]]"
49,2,2,"[[185.69163513183594, 308.0507507324219, 252.53379821777344, 360.0]]"
49,2,3,"[[542.391845703125, 246.33218383789062, 583.0294189453125, 289.0337829589844]]"
49,7,5,"[[77.55760192871094, 190.05404663085938, 168.3112030029297, 311.7298278808594]]"
50,2,1,"[[396.6467590332031, 155.80569458007812, 423.1378479003906, 176.82083129882812]]"
50,2,2,"[[186.71026611328125, 314.5048828125, 248.3836212158203, 360.0]]"
50,2,3,"[[537.013916015625, 243.83648681640625, 577.892822265625, 285.10931396484375]]"
50,7,5,"[[76.77361297607422, 192.20921325683594, 168.3729705810547, 315.2178039550781]]"
51,2,1,"[[395.5065612792969, 155.3900146484375, 421.55865478515625, 176.04786682128906]]"
51,2,2,"[[185.67897033691406, 320.0821228027344, 243.1961212158203, 360.0]]"
51,7,3,"[[529.5020751953125, 235.9321746826172, 575.5111694335938, 281.462646484375]]"
51,7,5,"[[71.49037170410156, 194.25814819335938, 165.18447875976562, 319.87298583984375]]"
52,2,1,"[[394.4505310058594, 154.8695526123047, 420.7487487792969, 175.7024688720703]]"
52,2,2,"[[188.6760711669922, 327.8724670410156, 237.98631286621094, 360.0]]"
52,2,3,"[[525.404541015625, 234.5843505859375, 570.165771484375, 277.7355041503906]]"
52,7,5,"[[69.49967193603516, 195.4315643310547, 164.46380615234375, 322.6751403808594]]"
53,2,1,"[[393.5675964355469, 154.41372680664062, 419.77044677734375, 175.18031311035156]]"
53,2,2,"[[188.70123291015625, 332.7135009765625, 232.9349365234375, 359.9568786621094]]"
53,2,3,"[[521.21435546875, 233.42953491210938, 565.4340209960938, 275.0107116699219]]"
53,7,5,"[[66.27349853515625, 196.77774047851562, 162.5919189453125, 325.7655334472656]]"
54,2,1,"[[392.4305114746094, 153.61297607421875, 418.5756530761719, 174.4022979736328]]"
54,2,3,"[[516.36767578125, 229.78871154785156, 561.5067749023438, 271.47601318359375]]"
54,7,5,"[[63.16367721557617, 198.287353515625, 161.22410583496094, 329.33123779296875]]"
55,2,1,"[[390.77288818359375, 151.5575408935547, 417.9696960449219, 173.27371215820312]]"
55,2,3,"[[512.6375732421875, 228.07855224609375, 556.676513671875, 267.9007568359375]]"
55,7,5,"[[59.31448745727539, 199.40965270996094, 160.02366638183594, 334.0649719238281]]"
56,2,1,"[[389.6994934082031, 151.66441345214844, 416.21014404296875, 172.7959747314453]]"
56,2,3,"[[508.7362976074219, 226.80001831054688, 551.5697631835938, 264.575927734375]]"
56,7,5,"[[54.37864685058594, 200.47369384765625, 158.01220703125, 338.771484375]]"
56,2,6,"[[203.2366180419922, 292.54705810546875, 268.1803283691406, 357.5740051269531]]"
57,2,1,"[[389.2004089355469, 151.76132202148438, 414.96844482421875, 172.27687072753906]]"
57,2,3,"[[504.13714599609375, 224.7235870361328, 547.4179077148438, 262.09735107421875]]"
57,7,5,"[[51.620304107666016, 201.9709014892578, 156.9773712158203, 342.5185852050781]]"
57,2,6,"[[207.14285278320312, 299.83203125, 266.35223388671875, 358.9292297363281]]"
58,2,1,"[[388.4505615234375, 151.76588439941406, 413.29681396484375, 171.49879455566406]]"
58,2,3,"[[499.66949462890625, 221.71310424804688, 544.33935546875, 259.7019348144531]]"
58,7,5,"[[45.740047454833984, 204.098388671875, 153.92945861816406, 347.4410095214844]]"
58,7,6,"[[205.20135498046875, 297.315673828125, 267.5448913574219, 359.3191833496094]]"
59,2,1,"[[386.78759765625, 149.52902221679688, 413.1519775390625, 170.58399963378906]]"
59,7,3,"[[496.0650939941406, 219.40576171875, 540.6962890625, 256.9053649902344]]"
59,7,5,"[[42.55833053588867, 206.12062072753906, 153.07400512695312, 351.9110412597656]]"
60,2,1,"[[386.095947265625, 149.68020629882812, 411.4643249511719, 169.93377685546875]]"
60,2,3,"[[493.07720947265625, 217.56935119628906, 536.38720703125, 253.40042114257812]]"
60,7,5,"[[37.49110412597656, 207.89654541015625, 149.5828857421875, 355.3241271972656]]"
61,2,1,"[[385.2923278808594, 149.18800354003906, 410.0542297363281, 168.93649291992188]]"
61,2,3,"[[490.39117431640625, 215.77503967285156, 532.408447265625, 250.07264709472656]]"
61,7,5,"[[38.27359390258789, 209.99183654785156, 149.7210235595703, 356.67620849609375]]"
62,2,1,"[[384.840087890625, 148.3812255859375, 409.7237548828125, 168.238525390625]]"
62,7,3,"[[486.45233154296875, 213.0253143310547, 529.9708862304688, 248.28036499023438]]"
62,7,5,"[[36.9431037902832, 211.5729522705078, 148.0169677734375, 357.5550231933594]]"
63,2,1,"[[384.0512390136719, 148.2979736328125, 408.1577453613281, 167.5683135986328]]"
63,2,3,"[[482.60015869140625, 211.50682067871094, 526.1921997070312, 246.52197265625]]"
63,7,5,"[[35.712989807128906, 214.13607788085938, 145.92593383789062, 358.18206787109375]]"
64,2,1,"[[382.88446044921875, 147.9977264404297, 406.8330078125, 167.13076782226562]]"
64,2,3,"[[479.00457763671875, 209.65306091308594, 522.3269653320312, 244.09437561035156]]"
64,7,5,"[[21.80959129333496, 215.60464477539062, 134.2726593017578, 358.2596740722656]]"
65,2,1,"[[381.68048095703125, 147.66090393066406, 405.5746765136719, 166.79046630859375]]"
65,5,3,"[[476.1071472167969, 207.32379150390625, 519.6231079101562, 241.90792846679688]]"
65,7,5,"[[17.59258460998535, 218.34478759765625, 130.2651824951172, 357.66058349609375]]"
66,2,1,"[[380.927734375, 147.5417022705078, 404.59088134765625, 166.46267700195312]]"
66,5,3,"[[472.84375, 205.0666046142578, 516.5242919921875, 239.7732696533203]]"
66,7,5,"[[16.7484188079834, 219.83229064941406, 129.69903564453125, 356.765625]]"
67,2,1,"[[380.4617004394531, 147.1546630859375, 403.45501708984375, 165.4450225830078]]"
67,2,3,"[[470.7536315917969, 203.87547302246094, 512.7949829101562, 237.10015869140625]]"
67,7,5,"[[14.225753784179688, 221.784423828125, 128.29489135742188, 356.9668884277344]]"
68,2,1,"[[379.6483459472656, 146.2940673828125, 402.6615295410156, 164.6237335205078]]"
68,2,3,"[[468.8406066894531, 203.15367126464844, 509.7144775390625, 235.3459014892578]]"
68,7,5,"[[11.847818374633789, 225.36219787597656, 125.97240447998047, 358.1866455078125]]"
69,2,1,"[[378.89874267578125, 145.62136840820312, 401.9062805175781, 164.01783752441406]]"
69,2,3,"[[466.22723388671875, 201.4886016845703, 506.8800048828125, 233.35194396972656]]"
69,7,5,"[[9.344829559326172, 226.3760528564453, 125.75172424316406, 359.9500427246094]]"
70,2,1,"[[378.30133056640625, 145.37103271484375, 400.91986083984375, 163.4334259033203]]"
70,2,3,"[[464.02227783203125, 200.26229858398438, 504.0046691894531, 231.39932250976562]]"
70,7,5,"[[8.91446590423584, 230.11387634277344, 124.49705505371094, 360.0]]"
71,2,1,"[[377.6637268066406, 145.39759826660156, 399.7701110839844, 163.0620880126953]]"
71,7,3,"[[460.6263732910156, 198.17022705078125, 500.5212707519531, 229.14837646484375]]"
71,7,5,"[[7.117692947387695, 232.47645568847656, 122.20393371582031, 360.0]]"
72,2,1,"[[376.542724609375, 144.90280151367188, 398.64300537109375, 162.6322021484375]]"
72,2,3,"[[457.75634765625, 196.3197784423828, 498.1331787109375, 227.63661193847656]]"
72,7,5,"[[5.3616743087768555, 234.16758728027344, 120.09345245361328, 360.0]]"
73,2,1,"[[375.9089660644531, 144.5619354248047, 397.61212158203125, 161.95677185058594]]"
73,2,3,"[[456.3609924316406, 195.38819885253906, 495.2124328613281, 225.31222534179688]]"
73,5,5,"[[4.903616905212402, 236.51742553710938, 118.56975555419922, 360.0]]"
74,2,1,"[[375.26397705078125, 144.3511505126953, 396.88134765625, 161.65089416503906]]"
74,2,3,"[[454.53753662109375, 194.89883422851562, 492.5794677734375, 223.98696899414062]]"
75,2,1,"[[375.0216064453125, 144.0531768798828, 395.7059631347656, 160.4992218017578]]"
75,2,3,"[[452.0592346191406, 193.4580535888672, 490.2458801269531, 222.63336181640625]]"
76,2,1,"[[374.5993957519531, 143.45347595214844, 394.98095703125, 159.5962371826172]]"
76,2,3,"[[449.6390380859375, 192.19349670410156, 487.74249267578125, 221.18568420410156]]"
77,2,3,"[[447.8150329589844, 190.85777282714844, 485.2916259765625, 219.36517333984375]]"
78,2,3,"[[445.4781494140625, 188.98390197753906, 482.7063903808594, 217.2138671875]]"
79,2,3,"[[443.1795654296875, 187.4541473388672, 480.40557861328125, 215.7369842529297]]"
80,2,3,"[[441.57147216796875, 186.9022674560547, 477.8404541015625, 214.3778839111328]]"
81,2,3,"[[439.85137939453125, 185.42063903808594, 476.2049255371094, 212.98202514648438]]"
82,2,3,"[[437.67523193359375, 183.9828338623047, 473.7261962890625, 211.3280792236328]]"
83,2,3,"[[436.2819519042969, 182.70162963867188, 472.0935974121094, 209.88555908203125]]"
84,2,3,"[[434.1611328125, 181.81304931640625, 469.29522705078125, 208.430908203125]]"
85,2,3,"[[432.4667663574219, 180.48509216308594, 467.3505554199219, 206.9605712890625]]"
86,2,3,"[[430.4517822265625, 179.64503479003906, 464.65631103515625, 205.49623107910156]]"
87,2,3,"[[428.8204040527344, 179.0261688232422, 462.6249084472656, 204.46397399902344]]"
88,2,3,"[[427.2946472167969, 177.78506469726562, 461.1373596191406, 203.25404357910156]]"
89,2,3,"[[426.2179870605469, 176.68438720703125, 459.03973388671875, 201.26055908203125]]"
90,2,3,"[[424.5310974121094, 175.74319458007812, 457.2797546386719, 200.2781219482422]]"
91,2,3,"[[423.26123046875, 175.10508728027344, 455.1102294921875, 198.927490234375]]"
92,2,3,"[[421.2071228027344, 173.84609985351562, 453.2884521484375, 197.88644409179688]]"
93,2,3,"[[419.7779235839844, 172.4105224609375, 452.3184509277344, 196.84963989257812]]"
94,2,3,"[[418.2331237792969, 171.65191650390625, 450.2400817871094, 195.66290283203125]]"
95,2,3,"[[416.9154357910156, 170.9722900390625, 448.7864685058594, 194.82371520996094]]"
96,5,3,"[[411.5768737792969, 161.9616241455078, 452.626708984375, 193.46583557128906]]"
97,2,3,"[[412.1231689453125, 165.3673553466797, 447.7657165527344, 192.54095458984375]]"
98,7,3,"[[407.4549255371094, 159.36265563964844, 448.81658935546875, 191.7897186279297]]"
99,7,3,"[[405.6290283203125, 157.1462860107422, 447.79376220703125, 191.0592803955078]]"
100,7,3,"[[406.185546875, 158.62506103515625, 443.85528564453125, 189.27056884765625]]"
101,2,3,"[[408.5331115722656, 163.1831512451172, 439.6959228515625, 188.37615966796875]]"
102,2,3,"[[407.631103515625, 162.8018035888672, 437.9210205078125, 187.33595275878906]]"
103,2,3,"[[406.9776611328125, 163.40687561035156, 435.39056396484375, 186.1839141845703]]"
104,2,3,"[[405.8928527832031, 163.61990356445312, 433.3371276855469, 185.41806030273438]]"
105,2,3,"[[405.0377502441406, 163.17494201660156, 432.2966003417969, 184.62530517578125]]"
106,2,3,"[[404.0375671386719, 162.56199645996094, 431.1070861816406, 183.89450073242188]]"
107,2,3,"[[402.44921875, 161.49667358398438, 429.6133728027344, 182.8495330810547]]"
108,2,3,"[[402.06561279296875, 161.05577087402344, 428.704833984375, 181.88552856445312]]"
109,2,3,"[[401.1768798828125, 160.8301239013672, 426.9697265625, 180.9648895263672]]"
110,2,3,"[[400.0600280761719, 160.57823181152344, 425.4535217285156, 180.2609100341797]]"
111,2,3,"[[398.35260009765625, 159.56112670898438, 423.926025390625, 179.2419891357422]]"
112,2,3,"[[397.3296813964844, 158.60540771484375, 422.7120361328125, 178.06021118164062]]"
113,2,3,"[[396.0452880859375, 157.02752685546875, 422.21533203125, 177.1793975830078]]"
114,2,3,"[[394.68951416015625, 156.35977172851562, 420.96209716796875, 176.55670166015625]]"
